model,block,action,config,batch,length,attention_latency_ms,ffn_latency_ms,total_latency_ms,attention_energy_j,ffn_energy_j,total_energy_j,total_flops,throughput_GFLOPS,energy_efficiency_GFLOPS_per_J
qwen3-8b,0,prefill,edge,1,128,2.91138,9.576448,12.487827999999999,0.03920668,0.1164184,0.15562508,49681480000.0,3978.3923993828234,319.23826159639566
qwen3-8b,0,prefill,edge,1,256,6.117928,19.1529,25.270827999999998,0.07357077,0.1983745,0.27194527,99910330000.0,3953.583554919531,367.391313700731
qwen3-8b,0,prefill,edge,1,512,13.16872,38.30579,51.47451,0.1560425,0.3668484,0.5228909,202010110000.0,3924.4688293293125,386.33319111118584
qwen3-8b,0,prefill,edge,1,1024,29.87638,76.61158,106.48796,0.3799946,0.7213045,1.1012991,412777800000.0,3876.2861078379187,374.80989496858757
qwen3-8b,0,prefill,edge,1,4096,202.6052,311.1649,513.7701,3.386586,2.928058,6.3146439999999995,1861296900000.0,3622.82059621609,294.7588019213752
qwen3-8b,0,prefill,server,8,128,0.584709,1.179648,1.764357,0.1702117,0.4402074,0.6104191,397451840000.0,225267.24466760413,651.1130467575474
qwen3-8b,0,prefill,server,8,256,1.23521,2.359296,3.594506,0.3668585,0.8804149,1.2472734,799282600000.0,222362.29401202835,640.8238963486274
qwen3-8b,0,prefill,server,8,512,2.830868,4.718592,7.54946,0.8485033,1.76083,2.6093333,1616081100000.0,214065.78748678713,619.3463671352372
qwen3-8b,0,prefill,server,8,1024,8.152104,9.437184,17.589288,2.11815,3.52166,5.63981,3302222800000.0,187740.56118701337,585.5202214258991
qwen3-8b,0,prefill,server,8,4096,84.77507,37.74874,122.52381,19.9461,14.08664,34.032740000000004,14890372000000.0,121530.43559451832,437.5308012225874
qwen3-8b,0,decode,edge,1,128,0.69854,2.372736,3.071276,0.01194209,0.04022704,0.05216913,388136590.0,126.37633022886904,7.439966700613946
qwen3-8b,0,decode,edge,1,256,0.734124,2.372736,3.10686,0.01266002,0.04022704,0.05288706,390274700.0,125.61708606116787,7.379398665760585
qwen3-8b,0,decode,edge,1,512,0.805292,2.372736,3.1780280000000003,0.01409588,0.04022704,0.05432292,394550930.0,124.14960787003763,7.263065571585622
qwen3-8b,0,decode,edge,1,1024,0.947628,2.372736,3.320364,0.0169676,0.04022704,0.05719464,403103400.0,121.40337625633816,7.047922672474204
qwen3-8b,0,decode,edge,1,4096,1.867196,2.372736,4.2399320000000005,0.03497603,0.04022704,0.07520307,454418100.0,107.17579904583373,6.042547199203437
qwen3-8b,0,decode,server,8,128,0.119371,0.295872,0.41524300000000003,0.01710131,0.04168066,0.05878197,3105092900.0,7477.773014837096,52.82389991352791
qwen3-8b,0,decode,server,8,256,0.154651,0.295872,0.450523,0.02230651,0.04168066,0.06398717000000001,3122197800.0,6930.162943956247,48.794122321709175
qwen3-8b,0,decode,server,8,512,0.225435,0.295872,0.521307,0.03271693,0.04168066,0.07439759,3156407600.0,6054.796118218248,42.426207623123275
qwen3-8b,0,decode,server,8,1024,0.367003,0.295872,0.6628750000000001,0.05355344,0.04168066,0.0952341,3224827200.0,4864.909975485573,33.86210611535154
qwen3-8b,0,decode,server,8,4096,1.216411,0.295872,1.512283,0.1785782,0.04168066,0.22025886,3635345000.0,2403.8787713675283,16.504875218186456
qwen3-moe,0,prefill,edge,1,128,5.003042,38.12577,43.128812,0.06707252,0.6967257,0.76379822,57485700000.0,1332.8839199187773,75.262940518505
qwen3-moe,0,prefill,edge,1,256,10.53498,38.51918,49.054159999999996,0.127606,0.7662358,0.8938418,116066110000.0,2366.0808787674687,129.85084161425434
qwen3-moe,0,prefill,edge,1,512,22.90292,39.22408,62.127,0.2765493,0.9182419,1.1947912,236511030000.0,3806.896035540103,197.9517676394001
qwen3-moe,0,prefill,edge,1,1024,52.90011,75.59734,128.49745000000001,0.6891247,1.205178,1.8943027000000001,490537600000.0,3817.488985189978,258.954178759287
qwen3-moe,0,prefill,edge,1,4096,377.4065,305.4368,682.8433,6.486159,3.029267,9.515426,2382521000000.0,3489.118220827531,250.38511150210195
qwen3-moe,0,prefill,server,8,128,1.022985,4.919492,5.942477,0.295389,1.004865,1.3002539999999998,459887700000.0,77389.89986835457,353.690663516513
qwen3-moe,0,prefill,server,8,256,2.179601,5.149064,7.328665,0.6445299,1.392627,2.0371569000000003,928528900000.0,126698.23221555358,455.79645828949157
qwen3-moe,0,prefill,server,8,512,5.080098,5.57544,10.655538,1.518088,2.165133,3.683221,1892089000000.0,177568.60329342357,513.7049881068771
