model,block,action,config,batch,length,arch,total_latency_cycles,total_energy_uJ,total_flops,throughput_GFLOPS,energy_eff_GFLOPS_per_J
qwen3-moe,0,prefill,edge,1,256,gemmini_ws,58332992.0,904587.84,116066110000.0,1989.7163855404503,128.30828015552365
qwen3-moe,0,prefill,edge,1,256,lego,46386672.0,1137963.34,116066110000.0,2502.143503633975,101.99459501041571
qwen3-moe,0,prefill,edge,1,256,ours,49054159.99999999,893841.8,116066110000.0,2366.0808787674687,129.85084161425434
qwen3-moe,0,prefill,edge,1,512,gemmini_os,99768160.0,1222415.8,236511030000.0,2370.60631367763,193.478381087679
qwen3-moe,0,prefill,edge,1,512,gemmini_ws,117281888.0,1356893.8399999999,236511030000.0,2016.603194518833,174.3032675275466
qwen3-moe,0,prefill,edge,1,512,lego,70729664.0,1890304.9,236511030000.0,3343.873229766792,125.11792674292914
qwen3-moe,0,prefill,edge,1,512,ours,62127000.0,1194791.2,236511030000.0,3806.896035540103,197.9517676394001
qwen3-moe,0,prefill,edge,1,1024,gemmini_os,129726656.0,2068847.15,490537600000.0,3781.316925335684,237.10673840742658
qwen3-moe,0,prefill,edge,1,1024,gemmini_ws,240386752.0,2337355.09,490537600000.0,2040.6182783317442,209.8686682646923
qwen3-moe,0,prefill,edge,1,1024,lego,132157712.0,2858527.33,490537600000.0,3711.7591745232394,171.60500613439999
qwen3-moe,0,prefill,edge,1,1024,ours,128497450.00000001,1894302.7000000002,490537600000.0,3817.488985189978,258.95417875928695
qwen3-moe,0,prefill,edge,1,4096,gemmini_os,680723200.0,10084232.3,2382521000000.0,3499.9850159359926,236.26201074324715
qwen3-moe,0,prefill,edge,1,4096,gemmini_ws,1124731648.0,10957228.3,2382521000000.0,2118.3017337838796,217.4382913971045
qwen3-moe,0,prefill,edge,1,4096,lego,831635968.0,17456752.7,2382521000000.0,2864.8604577910705,136.48133996880188
qwen3-moe,0,prefill,edge,1,4096,ours,682843300.0,9515426.0,2382521000000.0,3489.118220827531,250.38511150210195
qwen3-moe,0,prefill,server,8,128,gemmini_os,12693576.0,2069808.45,459887700000.0,36229.95600294196,222.18853150396598
qwen3-moe,0,prefill,server,8,128,gemmini_ws,5284970.0,2094742.25,459887700000.0,87018.03416102646,219.54381260988077
qwen3-moe,0,prefill,server,8,128,lego,12357280.0,2883999.35,459887700000.0,37215.93263242397,159.46179044735223
qwen3-moe,0,prefill,server,8,128,ours,5942477.0,1300253.9999999998,459887700000.0,77389.89986835457,353.690663516513
qwen3-moe,0,prefill,server,8,256,gemmini_os,15079168.0,3606618.87,928528900000.0,61576.931830721696,257.4513508270975
qwen3-moe,0,prefill,server,8,256,gemmini_ws,9117728.0,3489996.5700000003,928528900000.0,101837.7494919787,266.0543875548852
qwen3-moe,0,prefill,server,8,256,lego,22665746.0,5435767.87,928528900000.0,40966.17424372443,170.8183502692509
qwen3-moe,0,prefill,server,8,256,ours,7328665.0,2037156.9000000004,928528900000.0,126698.23221555358,455.7964582894915
qwen3-moe,0,prefill,server,8,512,gemmini_os,66725904.0,9430758.4,1892089000000.0,28356.138869246344,200.62956972792347
