model,config,batch,sram_banks,bf16_macs,mux_ops,mux_2to1_equivalents,sram_area_mm2,mac_area_mm2,mux_area_mm2,total_area_mm2,sram_percent,mac_percent,mux_percent
llama3-8b,edge,1,256,2112,1056,3584,49.226496,6.8494272,0.0494212096,56.1253444096,87.70814062315138,12.203804309891122,0.08805506695749865
llama3-8b,server,8,1024,131584,704,3904,196.905984,426.7400704,0.0538338176,623.6998882175999,31.570629996858735,68.42073863754109,0.008631365600184003
qwen3-8b,edge,1,256,2112,1600,4384,49.226496,6.8494272,0.060452729600000005,56.1363759296,87.69090484525469,12.201406105356337,0.10768904938896143
qwen3-8b,server,8,1024,131584,992,3040,196.905984,426.7400704,0.041919776,623.6879741759999,31.57123307694797,68.4220456493165,0.006721273735537919
gemma-7b,edge,1,256,2112,928,3712,49.226496,6.8494272,0.051186252800000005,56.1271094528,87.70538244339295,12.20342053381533,0.09119702279171352
gemma-7b,server,8,1024,131584,560,2800,196.905984,426.7400704,0.03861032,623.6846647199999,31.571400603284026,68.4224087170049,0.006190679711089883
qwen3-moe,edge,1,256,2112,1616,4384,49.226496,6.8494272,0.060452729600000005,56.1363759296,87.69090484525469,12.201406105356337,0.10768904938896143
qwen3-moe,server,8,1024,131584,4592,26432,196.905984,426.7400704,0.3644814208,624.0105358207999,31.55491337033233,68.38667713177026,0.05840949789743132
