model,block,action,config,batch,length,arch,total_latency_cycles,total_energy_uJ,total_flops,throughput_GFLOPS,energy_eff_GFLOPS_per_J
qwen3-moe,0,prefill,server,8,512,gemmini_ws,45470592.0,8400072.703296,1892621664256.0,41622.982701786685,225.31015279348446
qwen3-moe,0,prefill,server,8,512,lego,61869888.0,12087054.43264,1892621664256.0,30590.35219614427,156.58253835153965
qwen3-moe,0,prefill,server,8,1024,gemmini_os,69470242.0,16565312.30624,3926171942912.0,56515.881187113184,237.01164640482193
qwen3-moe,0,prefill,server,8,1024,gemmini_ws,102922752.0,17130589.30624,3926171942912.0,38146.783549977365,229.19071099800695
qwen3-moe,0,prefill,server,8,1024,lego,117490048.0,21198147.365184,3926171942912.0,33417.059655231395,185.2129752319948
qwen3-moe,0,prefill,server,8,2048,gemmini_os,303632320.0,42698569.955423996,8416058343424.0,27717.92654821463,197.10398620399016
qwen3-moe,0,prefill,server,8,2048,gemmini_ws,361702912.0,44167265.058592,8416058343424.0,23267.875552586094,190.54968271771668
qwen3-moe,0,prefill,server,8,2048,lego,400620800.0,55384161.49456,8416058343424.0,21007.54215313833,151.95785430913583
qwen3-moe,0,prefill,server,8,4096,gemmini_os,705656960.0,123372781.386016,19086974517248.0,27048.51733801081,154.70976906589758
qwen3-moe,0,prefill,server,8,4096,gemmini_ws,900274688.0,127293926.02256,19086974517248.0,21201.278644910653,149.9441105608233
qwen3-moe,0,prefill,server,8,4096,lego,1009334274.0,173520522.2792,19086974517248.0,18910.459110445307,109.99836945244124
