hardware,model,block,action,config,batch,length,attention_latency_ms,ffn_latency_ms,total_latency_ms,total_flops,assumed_power_w,estimated_energy_j,throughput_GFLOPS,energy_efficiency_GFLOPS_per_J
A100,qwen3-moe,0,decode,server,8,512,1.0691,1.9004,2.9695,3695486000.0,250.0,0.742375,1244.4808890385586,4.977923556154234
A100,qwen3-moe,0,decode,server,8,1024,1.3921,1.8963,3.2884,3832325000.0,250.0,0.8221,1165.4071889064592,4.661628755625837
Orin,gemma-7b,0,prefill,edge,1,128,3.247,10.4018,13.6488,71163450000.0,9.0,0.1228392,5213.897925092316,579.321991676924
Orin,gemma-7b,0,prefill,edge,1,256,5.2509,14.7789,20.0298,142868520000.0,9.0,0.18026820000000002,7132.7981307851305,792.5331256427922
Orin,gemma-7b,0,prefill,edge,1,512,8.5248,29.3211,37.8459,287903300000.0,9.0,0.34061310000000006,7607.252040511654,845.2502267235171
Orin,gemma-7b,0,prefill,edge,1,1024,19.8491,65.4543,85.30340000000001,584472000000.0,9.0,0.7677306,6851.6846925210475,761.2982991690053
Orin,gemma-7b,0,decode,edge,1,128,2.9874,5.9097,8.8971,555964500.0,9.0,0.08007389999999999,62.48828269885693,6.943142522095214
Orin,gemma-7b,0,decode,edge,1,256,2.9744,5.9031,8.877500000000001,558080000.0,9.0,0.07989750000000001,62.86454519853561,6.984949466503957
Orin,gemma-7b,0,decode,edge,1,512,2.4652,6.1617,8.6269,562311200.0,9.0,0.0776421,65.18114270479546,7.242349189421718
Orin,gemma-7b,0,decode,edge,1,1024,2.9181,6.2085,9.1266,570773500.0,9.0,0.0821394,62.53955470821555,6.94883941202395
Orin,llama3-70b,0,prefill,edge,1,128,4.1044,5.237,9.3414,219616790000.0,9.0,0.0840726,23510.050955959494,2612.2278839954993
Orin,llama3-70b,0,prefill,edge,1,256,6.0962,7.5386,13.634799999999998,440328400000.0,9.0,0.12271319999999998,32294.452430545374,3588.2724922828193
Orin,llama3-70b,0,prefill,edge,1,512,11.4544,14.462,25.9164,885035600000.0,9.0,0.2332476,34149.634980167,3794.4038866852225
Orin,llama3-70b,0,prefill,edge,1,1024,29.592,29.467,59.059,1787586500000.0,9.0,0.531531,30267.80846272372,3363.089829191524
Orin,llama3-70b,0,decode,edge,1,128,2.7696,4.722,7.4916,1715756400.0,9.0,0.06742440000000001,229.02402691013936,25.447114101126594
Orin,llama3-70b,0,decode,edge,1,256,2.7137,4.8035,7.517199999999999,1720032600.0,9.0,0.0676548,228.8129356675358,25.42365951861509
Orin,llama3-70b,0,decode,edge,1,512,2.9796,4.7547,7.734299999999999,1728585000.0,9.0,0.0696087,223.4959854156162,24.832887268401798
Orin,llama3-70b,0,decode,edge,1,1024,3.5446,4.7515,8.2961,1745692000.0,9.0,0.07466489999999999,210.4232109063295,23.380356767369946
Orin,llama3-8b,0,prefill,edge,1,128,3.0516,6.6175,9.6691,56121560000.0,9.0,0.0870219,5804.217559028245,644.9130621142494
Orin,llama3-8b,0,prefill,edge,1,256,5.1076,10.7545,15.8621,112790470000.0,9.0,0.14275890000000002,7110.689631259417,790.0766256954907
Orin,llama3-8b,0,prefill,edge,1,512,9.0845,20.9961,30.080599999999997,227770400000.0,9.0,0.2707254,7572.003218020918,841.3336908912131
Orin,llama3-8b,0,prefill,edge,1,1024,24.9021,42.7651,67.6672,464298400000.0,9.0,0.6090047999999999,6861.498628582238,762.3887365091375
Orin,llama3-8b,0,decode,edge,1,128,2.328,5.2699,7.597899999999999,438449710.0,9.0,0.06838109999999999,57.70669658721489,6.411855176357211
Orin,llama3-8b,0,decode,edge,1,256,2.8953,5.251,8.1463,440587820.0,9.0,0.0733167,54.08440887273977,6.009378763637752
Orin,llama3-8b,0,decode,edge,1,512,2.554,5.3286,7.8826,444864050.0,9.0,0.0709434,56.43620759647832,6.270689732942035
Orin,llama3-8b,0,decode,edge,1,1024,3.0251,5.4078,8.4329,453416500.0,9.0,0.07589610000000001,53.76756513180519,5.97417390353391
Orin,qwen3-8b,0,prefill,edge,1,128,3.566,5.8484,9.4144,49681480000.0,9.0,0.0847296,5277.179639700884,586.3532933000982
Orin,qwen3-8b,0,prefill,edge,1,256,5.4781,8.6296,14.107700000000001,99910330000.0,9.0,0.1269693,7081.971547452808,786.8857274947565
Orin,qwen3-8b,0,prefill,edge,1,512,10.4677,17.3553,27.823,202010110000.0,9.0,0.250407,7260.543794702225,806.7270883002471
Orin,qwen3-8b,0,prefill,edge,1,1024,27.7185,34.9592,62.6777,412777800000.0,9.0,0.5640993,6585.720280099621,731.7466977888467
Orin,qwen3-8b,0,decode,edge,1,128,1.261,4.401,5.662,388136590.0,9.0,0.050957999999999996,68.55114623807842,7.6167940264531575
Orin,qwen3-8b,0,decode,edge,1,256,1.3959,4.9307,6.3266,390274700.0,9.0,0.0569394,61.68790503588025,6.854211670653361
Orin,qwen3-8b,0,decode,edge,1,512,3.3981,5.2138,8.6119,394550930.0,9.0,0.07750710000000001,45.814620467028185,5.0905133852253535
Orin,qwen3-8b,0,decode,edge,1,1024,3.6578,4.3943,8.0521,403103400.0,9.0,0.07246889999999999,50.061896896461796,5.562432988495755
Orin,qwen3-moe,0,prefill,edge,1,128,5.4097,55.5887,60.998400000000004,57485700000.0,9.0,0.5489856,942.4132436260622,104.71258262511803
Orin,qwen3-moe,0,prefill,edge,1,256,8.2572,58.2228,66.48,116066110000.0,9.0,0.5983200000000001,1745.880114320096,193.98667936889956
Orin,qwen3-moe,0,prefill,edge,1,512,19.3324,59.2825,78.6149,236511030000.0,9.0,0.7075341,3008.4758741663477,334.2750971295942
Orin,qwen3-moe,0,prefill,edge,1,1024,52.3563,62.3995,114.7558,490537600000.0,9.0,1.0328022,4274.62141347104,474.95793483011556
Orin,qwen3-moe,0,decode,edge,1,128,3.6667,9.2083,12.875,449107000.0,9.0,0.115875,34.88209708737864,3.875788565264293
Orin,qwen3-moe,0,decode,edge,1,256,3.9176,7.8694,11.786999999999999,453383200.0,9.0,0.106083,38.464681428692636,4.2738534920769595
Orin,qwen3-moe,0,decode,edge,1,512,4.623,7.8797,12.5027,461936700.0,9.0,0.11252430000000001,36.94695545762115,4.105217273069017
Orin,qwen3-moe,0,decode,edge,1,1024,6.6711,7.8129,14.484,479042100.0,9.0,0.130356,33.073881524440765,3.6748757249378627
