Arch,Config,Model,Layer,Phase,OpName,OpType,Cycles,Energy(uJ),Computes,Utilization(%),DRAM_Acc,SRAM_Acc,MLIR_Desc,MLIR_Elems,YAML_N,YAML_C,YAML_M,YAML_R,YAML_S,YAML_P,YAML_Q,YAML_G
gemmini,edge,llama3_8b,attn_prefill_1,prefill,batch_matmul_1,attn,67108864,641172.62,34359738368,12.5,1166016512,6543114240,"batch_matmul_1: K projection (hidden→GQA head, 4096→1024)",34359738368,8,4096,1024,1,1,1024,1,1
gemmini,edge,llama3_8b,attn_prefill_2,prefill,batch_matmul_2,attn,67108864,641172.62,34359738368,12.5,1166016512,6543114240,"batch_matmul_2: V projection (hidden→GQA head, 4096→1024)",34359738368,8,4096,1024,1,1,1024,1,1
gemmini,edge,llama3_8b,attn_prefill_3,prefill,batch_matmul_3,attn,33554432,607919.11,34359738368,25.0,306184192,9701425152,"batch_matmul_3: QK^T attention score (head_dim=128, num_heads=32)",34359738368,256,128,1024,1,1,1024,1,1
gemmini,edge,llama3_8b,attn_prefill_4,prefill,batch_matmul_4,attn,33554432,601953.59,34359738368,25.0,1342177280,4630511616,batch_matmul_4: Score×V (1024→128),34359738368,256,1024,128,1,1,1024,1,1
gemmini,edge,llama3_8b,attn_prefill_5,prefill,batch_matmul_5,attn,268435456,1859950.91,137438953472,12.5,1325400064,17465081856,batch_matmul_5: Output projection (hidden→hidden),137438953472,8,4096,4096,1,1,1024,1,1
gemmini,edge,llama3_8b,ffn_decode_0,decode,batch_matmul_0,ffn,131072,19901.92,469762048,87.5,73809920,185073664,batch_matmul_0: Gate projection,469762048,8,4096,14336,1,1,1,1,1
gemmini,edge,llama3_8b,ffn_decode_1,decode,batch_matmul_1,ffn,131072,19901.92,469762048,87.5,73809920,185073664,batch_matmul_1: Up projection,469762048,8,4096,14336,1,1,1,1,1
gemmini,edge,llama3_8b,ffn_decode_2,decode,batch_matmul_2,ffn,262144,20721.15,469762048,43.75,61571072,302776320,batch_matmul_2: Down projection,469762048,8,14336,4096,1,1,1,1,1
gemmini,edge,llama3_8b,ffn_prefill_0,prefill,batch_matmul_0,ffn,939524096,9619589.93,481036337152,12.5,15065939968,121349603328,batch_matmul_0: Gate projection,481036337152,8,4096,14336,1,1,1024,1,1
gemmini,edge,llama3_8b,ffn_prefill_1,prefill,batch_matmul_1,ffn,939524096,9619589.93,481036337152,12.5,15065939968,121349603328,batch_matmul_1: Up projection,481036337152,8,4096,14336,1,1,1024,1,1
gemmini,edge,llama3_8b,ffn_prefill_2,prefill,batch_matmul_2,ffn,8589934592,8611600.43,481036337152,1.37,6375342080,126131109888,batch_matmul_2: Down projection,481036337152,8,14336,4096,1,1,1024,1,1
gemmini,edge,qwen3_8b,attn_decode_0,decode,batch_matmul_0,attn,32768,4360.14,134217728,100.0,17039360,35684352,batch_matmul_0: Q projection,134217728,8,4096,4096,1,1,1,1,1
gemmini,edge,qwen3_8b,attn_decode_1,decode,batch_matmul_1,attn,8192,1210.38,33554432,100.0,4251648,13139968,batch_matmul_1: K projection (GQA),33554432,8,4096,1024,1,1,1,1,1
gemmini,edge,qwen3_8b,attn_decode_2,decode,batch_matmul_2,attn,8192,1210.38,33554432,100.0,4251648,13139968,batch_matmul_2: V projection (GQA),33554432,8,4096,1024,1,1,1,1,1
gemmini,edge,qwen3_8b,attn_decode_3,decode,batch_matmul_3,attn,8192,370.26,33554432,100.0,458752,1769472,batch_matmul_3: QK^T attention score,33554432,256,128,1024,1,1,1,1,1
gemmini,edge,qwen3_8b,attn_decode_4,decode,batch_matmul_4,attn,8192,473.35,33554432,100.0,884736,2228224,batch_matmul_4: Score×V,33554432,256,1024,128,1,1,1,1,1
gemmini,edge,qwen3_8b,attn_decode_5,decode,batch_matmul_5,attn,32768,4360.14,134217728,100.0,17039360,35684352,batch_matmul_5: Output projection,134217728,8,4096,4096,1,1,1,1,1
gemmini,edge,qwen3_8b,attn_prefill_0,prefill,batch_matmul_0,attn,268435456,1859950.91,137438953472,12.5,1325400064,17465081856,batch_matmul_0: Q projection,137438953472,8,4096,4096,1,1,1024,1,1
gemmini,edge,qwen3_8b,attn_prefill_1,prefill,batch_matmul_1,attn,67108864,641172.62,34359738368,12.5,1166016512,6543114240,batch_matmul_1: K projection (GQA),34359738368,8,4096,1024,1,1,1024,1,1
gemmini,edge,qwen3_8b,attn_prefill_2,prefill,batch_matmul_2,attn,67108864,641172.62,34359738368,12.5,1166016512,6543114240,batch_matmul_2: V projection (GQA),34359738368,8,4096,1024,1,1,1024,1,1
gemmini,edge,qwen3_8b,attn_prefill_3,prefill,batch_matmul_3,attn,33554432,607919.11,34359738368,25.0,306184192,9701425152,batch_matmul_3: QK^T attention score,34359738368,256,128,1024,1,1,1024,1,1
gemmini,edge,qwen3_8b,attn_prefill_4,prefill,batch_matmul_4,attn,33554432,601953.59,34359738368,25.0,1342177280,4630511616,batch_matmul_4: Score×V,34359738368,256,1024,128,1,1,1024,1,1
